Date,Price
2022-01-03,5214.00
2022-01-04,5245.50
2022-01-05,5331.00
2022-01-06,5340.00
2022-01-07,5336.00
2022-01-10,5347.00
2022-01-11,5266.00
2022-01-12,5278.00
2022-01-13,5301.00
2022-01-14,5294.00
2022-01-17,5297.00
2022-01-19,5409.00
2022-01-20,5380.50
2022-01-21,5421.50
2022-01-24,5497.00
2022-01-25,5442.00
2022-01-26,5497.50
2022-01-27,5605.50
2022-01-28,5700.00
2022-02-04,5744.00
2022-02-07,5749.50
2022-02-08,5515.00
2022-02-09,5642.50
2022-02-10,5751.00
2022-02-11,5799.50
2022-02-14,5837.00
2022-02-15,5970.50
2022-02-16,5951.50
2022-02-17,5964.00
2022-02-18,6027.50
2022-02-21,6158.00
2022-02-22,6279.00
2022-02-23,6485.00
2022-02-24,6845.50
2022-02-25,6779.00
2022-03-01,7786.50
2022-03-02,8076.50
2022-03-03,7530.50
2022-03-04,6843.50
2022-03-07,7005.50
2022-03-08,7005.00
2022-03-09,7410.00
2022-03-10,7546.00
2022-03-11,7440.50
2022-03-14,6927.50
2022-03-15,6846.50
2022-03-16,6895.00
2022-03-17,6737.00
2022-03-18,6392.00
2022-03-21,6382.00
2022-03-22,6502.00
2022-03-23,6646.00
2022-03-24,6688.50
2022-03-25,6664.50
2022-03-28,6647.00
2022-03-29,6633.50
2022-03-30,6587.50
2022-03-31,6424.50
2022-04-01,6251.00
2022-04-04,6357.50
2022-04-05,6457.00
2022-04-06,6571.00
2022-04-07,6487.50
2022-04-08,6533.50
2022-04-11,6626.50
2022-04-12,6619.50
2022-04-13,6551.50
2022-04-14,6639.00
2022-04-15,6642.50
2022-04-18,6710.00
2022-04-19,6633.50
2022-04-20,6717.50
2022-04-21,6773.50
2022-04-22,6777.50
2022-04-25,7234.50
2022-04-26,7078.00
2022-04-27,7213.00
2022-04-28,7468.50
2022-04-29,7605.50
2022-05-05,7469.50
2022-05-06,7090.50
2022-05-09,7052.00
2022-05-10,7010.50
2022-05-11,7078.00
2022-05-12,6939.00
2022-05-13,6950.00
2022-05-17,6635.50
2022-05-18,6679.50
2022-05-19,6635.50
2022-05-20,6734.50
2022-05-23,6715.00
2022-05-24,6894.50
2022-05-25,6951.50
2022-05-26,6979.50
2022-05-27,7095.50
2022-05-30,6787.50
2022-05-31,6680.00
2022-06-01,6676.50
2022-06-02,6752.00
2022-06-03,6771.00
2022-06-07,6753.50
2022-06-08,6746.50
2022-06-09,6644.50
2022-06-10,6540.50
2022-06-13,6091.00
2022-06-14,6068.00
2022-06-15,5914.50
2022-06-16,5719.00
2022-06-17,5703.50
2022-06-20,5398.50
2022-06-21,5245.00
2022-06-22,5046.00
2022-06-23,4770.50
2022-06-24,4765.50
2022-06-27,4914.50
2022-06-28,5092.00
2022-06-29,5154.00
2022-06-30,5065.00
2022-07-01,4838.50
2022-07-04,4698.00
2022-07-05,4344.00
2022-07-06,3934.00
2022-07-07,4088.50
2022-07-08,4205.50
2022-07-12,4244.00
2022-07-13,4000.00
2022-07-14,3990.00
2022-07-15,3631.50
2022-07-18,3810.00
2022-07-19,3956.00
2022-07-20,3956.50
2022-07-21,3810.50
2022-07-22,3820.50
2022-07-25,3783.50
2022-07-26,3913.50
2022-07-27,3895.00
2022-07-28,4022.00
2022-07-29,4197.00
2022-08-01,4143.50
2022-08-02,3946.50
2022-08-03,4011.50
2022-08-04,3939.00
2022-08-05,4040.50
2022-08-08,4119.00
2022-08-09,4175.50
2022-08-10,4166.50
2022-08-11,4245.50
2022-08-12,4420.00
2022-08-15,4253.00
2022-08-16,4240.00
2022-08-17,4217.00
2022-08-18,4158.00
2022-08-19,4153.00
2022-08-22,4210.50
2022-08-23,4196.00
2022-08-24,4258.50
2022-08-25,4276.00
2022-08-26,4205.50
2022-08-29,4193.50
2022-08-30,4025.50
2022-09-01,4002.50
2022-09-02,3905.00
2022-09-05,3896.00
2022-09-06,3834.00
2022-09-07,3680.50
2022-09-08,3663.00
2022-09-09,3625.00
2022-09-12,3642.50
2022-09-13,3756.50
2022-09-14,3763.50
2022-09-15,3694.00
2022-09-19,3743.50
2022-09-20,3703.00
2022-09-21,3746.00
