Date,Price
2012-01-03,3215.50
2012-01-04,3207.50
2012-01-05,3216.50
2012-01-06,3207.00
2012-01-09,3194.50
2012-01-10,3211.50
2012-01-11,3207.00
2012-01-12,3213.50
2012-01-13,3166.50
2012-01-16,3137.50
2012-01-17,3161.00
2012-01-18,3153.50
2012-01-19,3149.50
2012-01-20,3163.00
2012-01-25,3164.00
2012-01-26,3121.50
2012-01-27,3128.00
2012-01-30,3119.00
2012-02-02,3051.50
2012-02-03,3051.00
2012-02-08,3099.50
2012-02-09,3107.50
2012-02-10,3078.00
2012-02-13,3114.50
2012-02-14,3113.00
2012-02-15,3144.00
2012-02-16,3138.00
2012-02-17,3167.50
2012-02-20,3200.00
2012-02-21,3195.00
2012-02-22,3207.00
2012-02-23,3181.00
2012-02-24,3180.50
2012-02-28,3206.00
2012-02-29,3185.00
2012-03-01,3206.00
2012-03-02,3219.00
2012-03-05,3213.50
2012-03-06,3208.00
2012-03-07,3205.50
2012-03-08,3238.50
2012-03-09,3290.50
2012-03-12,3295.00
2012-03-13,3301.00
2012-03-14,3332.00
2012-03-15,3348.50
2012-03-16,3360.00
2012-03-19,3348.00
2012-03-20,3332.00
2012-03-21,3334.00
2012-03-22,3335.00
2012-03-23,3359.00
2012-03-26,3397.50
2012-03-27,3390.00
2012-03-28,3440.00
2012-03-29,3401.00
2012-03-30,3382.50
2012-04-02,3483.00
2012-04-03,3497.00
2012-04-04,3521.50
2012-04-05,3511.50
2012-04-06,3544.50
2012-04-09,3555.50
2012-04-10,3567.50
2012-04-12,3550.50
2012-04-13,3539.50
2012-04-16,3472.50
2012-04-17,3475.00
2012-04-18,3478.50
2012-04-19,3461.00
2012-04-20,3454.00
2012-04-23,3472.00
2012-04-24,3457.50
2012-04-25,3459.50
2012-04-26,3477.50
2012-04-27,3478.00
2012-04-30,3456.00
2012-05-02,3445.50
2012-05-03,3417.50
2012-05-04,3387.50
2012-05-07,3338.50
2012-05-08,3370.50
2012-05-09,3351.00
2012-05-10,3350.50
2012-05-11,3299.00
2012-05-14,3193.00
2012-05-15,3193.00
2012-05-16,3187.00
2012-05-17,3119.50
2012-05-18,3080.50
2012-05-21,3109.00
2012-05-22,3112.50
2012-05-23,3053.00
2012-05-24,3022.50
2012-05-25,3078.00
2012-05-28,3123.50
2012-05-29,3152.00
2012-05-30,3111.00
2012-05-31,3092.00
2012-06-01,3039.50
2012-06-04,2943.50
2012-06-05,2976.50
2012-06-06,2997.00
2012-06-07,3001.00
2012-06-08,2954.50
2012-06-11,2988.50
2012-06-12,2945.50
2012-06-13,2947.50
2012-06-14,2904.00
2012-06-15,2869.00
2012-06-18,2870.50
2012-06-19,2902.00
2012-06-20,3000.00
2012-06-21,2994.00
2012-06-22,2951.00
2012-06-25,3005.50
2012-06-26,2995.50
2012-06-27,2999.00
2012-06-28,2977.00
2012-06-29,2985.00
2012-07-02,3043.00
2012-07-03,3086.00
2012-07-04,3098.50
2012-07-05,3103.00
2012-07-06,3132.00
2012-07-09,3134.00
2012-07-10,3114.50
2012-07-11,3096.00
2012-07-12,3004.50
2012-07-13,3018.50
2012-07-16,3093.00
2012-07-17,3038.50
2012-07-18,2981.50
2012-07-19,2991.50
2012-07-20,2991.00
2012-07-23,2947.00
2012-07-24,2906.50
2012-07-25,2892.00
2012-07-26,2895.50
2012-07-27,2881.00
2012-07-30,2928.00
2012-07-31,2909.50
2012-08-01,2920.50
2012-08-02,2899.00
2012-08-03,2880.50
2012-08-06,2854.50
2012-08-07,2834.50
2012-08-08,2791.50
2012-08-09,2759.50
2012-08-10,2743.50
2012-08-13,2717.00
2012-08-14,2718.00
2012-08-15,2723.00
2012-08-16,2751.00
2012-08-17,2800.50
2012-08-22,2947.00
2012-08-23,2947.00
2012-08-24,2949.50
2012-08-27,2984.50
2012-08-28,2933.00
2012-08-29,2885.00
2012-09-03,2922.00
2012-09-04,2925.00
2012-09-05,2893.00
2012-09-06,2808.50
2012-09-07,2780.00
2012-09-10,2770.50
2012-09-11,2743.00
2012-09-12,2749.00
2012-09-13,2732.50
2012-09-14,2739.00
2012-09-18,2670.00
2012-09-19,2667.50
2012-09-20,2641.50
2012-09-21,2588.00
2012-09-24,2397.50
2012-09-25,2434.00
2012-09-26,2429.50
2012-09-27,2395.00
2012-09-28,2394.50
2012-10-01,2311.00
2012-10-02,2169.00
2012-10-03,2115.50
2012-10-04,2161.50
2012-10-05,2211.50
2012-10-08,2200.00
2012-10-09,2228.50
2012-10-10,2259.50
2012-10-11,2292.50
2012-10-12,2299.00
