datetime,temp,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase
1/1/2020,29.3,22.8,69.5,0,0,0,14,84,1013,37.8,9.7,277.3,24,9,0.17
2/1/2020,28.5,24.1,78,1.16,100,4.17,13.9,99.1,1013.8,44.3,9.7,243.7,21.1,9,0.22
3/1/2020,28.2,24.6,82.3,11.95,100,8.33,12.1,147.9,1012.5,39.5,9.5,252.2,21.9,9,0.26
4/1/2020,28.5,24.7,80.7,0.35,100,4.17,14.1,172.3,1010.7,40.7,8.8,265.1,22.9,9,0.31
5/1/2020,28.5,23.9,77.2,0,0,0,13.5,179.2,1011,39.7,9,278.6,24.1,10,0.36
6/1/2020,28.4,23.8,77.8,9.84,100,8.33,13.7,151.8,1011.5,40.2,9.6,275.5,23.8,10,0.4
7/1/2020,28.8,23.8,76.2,0,0,0,17.7,202.1,1010.6,37.4,9.8,194.9,16.9,7,0.44
8/1/2020,29,24.7,78.4,0.35,100,4.17,12.8,121.4,1009.6,42.7,9.1,223.4,19.4,8,0.47
9/1/2020,27.9,24.3,82.7,34.71,100,8.33,14.6,115.9,1009.4,38.2,9.5,244.3,21.3,8,0.49
10/1/2020,27.4,24.3,84.4,7.42,100,8.33,13,139.2,1010.1,38.7,9.3,171.5,14.8,6,0.5
11/1/2020,28.1,24.7,82.8,0,0,0,13.7,182.7,1010.1,35.7,9.1,174.4,15.1,6,0.51
12/1/2020,28,24.7,82.7,1.27,100,8.33,17.3,181.6,1009.6,36.6,7.9,223.3,19.3,8,0.52
13/1/2020,27.5,25,87.3,1.42,100,8.33,9.4,111.1,1009,37.2,8.5,251.8,21.7,9,0.55
14/1/2020,28.7,24.7,79.8,0,0,0,8.9,110.3,1009.6,36.3,8.5,253.5,21.7,9,0.59
15/1/2020,28.3,24.8,82.2,7.07,100,4.17,15.1,105.6,1010.2,38.1,8.8,259.5,22.6,9,0.64
16/1/2020,28.3,25.5,86,1.77,100,4.17,16.4,126.7,1010.8,37.4,7.3,273.4,23.6,9,0.69
17/1/2020,28.3,25.2,84.3,0,0,0,12.3,151.2,1011.2,38.2,8.4,276,24,9,0.75
18/1/2020,28.1,24.9,83.8,0,0,0,17.9,162.4,1010.7,37.6,8.1,272.3,23.5,9,0.81
19/1/2020,28,25.3,86.5,67.2,100,8.33,19.2,145.3,1011,43.1,7.8,261.9,22.5,9,0.86
20/1/2020,29,25.1,80.9,0,0,0,12.5,159.3,1011.5,37.4,9.4,222.8,19.1,8,0.91
21/1/2020,29.2,25.4,80.3,0,0,0,11.8,142.4,1012.7,37.3,9.6,157.3,13.7,5,0.95
22/1/2020,29.8,24.4,74.1,0,0,0,18.8,115.8,1012.2,37.6,9.6,282.1,24.4,10,0.98
23/1/2020,29.1,25,79.2,0.05,100,4.17,12.8,131.2,1011.4,39,9.5,288.2,24.9,10,0.99
24/1/2020,29.7,24.7,76.3,0,0,0,17.3,169.8,1010.9,35.9,9.5,246.2,21.2,8,1
25/1/2020,29.7,24,72.3,0,0,0,12.8,153.4,1010.4,38,9.6,278.6,23.9,9,0
26/1/2020,29.3,24.8,77.4,0,0,0,14.3,208.4,1009.7,37.9,9.6,229.4,19.8,9,0.01
27/1/2020,29,24.9,79.2,0.53,100,4.17,11.7,220.9,1009.8,38,9.7,241.9,20.9,8,0.03
28/1/2020,29.3,24.9,78.3,0,0,0,16.1,177.5,1010.2,37.6,9.9,184,15.9,6,0.06
29/1/2020,25.6,24.2,92.3,28.01,100,8.33,16.9,205.2,1012.4,40.1,7.5,154.5,13.3,5,0.09
30/1/2020,27.5,23.5,80.9,1.89,100,8.33,14.3,167.1,1011,39.6,9.4,197.2,16.9,6,0.13
31/1/2020,28,24.1,80.7,3.54,100,4.17,14.1,154.5,1010.9,37.9,9.6,197.7,17,7,0.18
1/2/2020,29.1,23.5,73.6,0,0,0,16.5,69.7,1010.7,38.3,9,269.1,23.1,9,0.22
2/2/2020,29.5,22.7,68.1,0,0,0,15.4,68.8,1011.8,38.7,10,290.4,25,10,0.27
3/2/2020,29,21.8,67,0,0,0,17.3,157.4,1012.1,37.4,9.8,289,24.8,10,0.32
4/2/2020,28.4,23.1,74.1,0,0,0,15.3,142.2,1011.2,37.7,10,291.5,25,10,0.37
5/2/2020,28.5,23.1,74.3,7.07,100,4.17,14.1,134.7,1010.8,40.7,8.8,283.8,24.7,10,0.41
6/2/2020,28.9,23.7,75.3,0.53,100,8.33,15.9,112.9,1011.1,38.3,7.8,277.4,24,9,0.45
7/2/2020,28.2,24.3,80.3,0.35,100,4.17,10.5,108.5,1011.6,37.8,7.8,250.7,21.8,9,0.48
8/2/2020,28.3,23.5,77,0.35,100,4.17,10.7,151.4,1012.5,37.6,8.4,286.4,24.7,9,0.5
9/2/2020,27.7,24.1,82,0,0,0,15.9,236.5,1012.2,39.6,7.8,266.7,23,9,0.5
10/2/2020,27.2,23.5,81.6,15.29,100,4.17,11.6,106.7,1011.9,40,9.9,153.4,13.4,6,0.52
11/2/2020,28.5,23.6,75.7,0,0,0,13.8,82.1,1011.7,38.8,9.7,226.2,19.6,8,0.53
12/2/2020,29.5,24.2,74.6,0,0,0,15.7,102,1012,37.5,10.2,256.5,22.3,9,0.57
13/2/2020,28.5,24.9,81.9,32.71,100,4.17,17.5,174.8,1011.3,37.4,9.5,281.9,24.2,10,0.62
14/2/2020,28,25.7,87.9,20.68,100,4.17,20.1,108,1010.3,38.9,8.2,204,17.6,7,0.67
15/2/2020,27.6,25,86.2,5.51,100,12.5,15.4,239.4,1011.9,39.4,9.3,164.1,14.1,7,0.73
16/2/2020,27.9,24.9,84.6,2.5,100,4.17,17.7,195.6,1012.2,40.8,9.9,256.3,22.1,9,0.78
17/2/2020,28.7,24.6,80,0,0,0,14.6,142.2,1012.3,37.2,8.9,248.3,21.6,8,0.84
18/2/2020,26.4,23.8,86.1,3.51,100,4.17,14.6,126.2,1013,39.6,9.6,147.5,12.7,5,0.88
19/2/2020,28.2,23,74.6,0,0,0,12.1,145.6,1012.6,37.6,9.3,287.6,24.8,10,0.93
20/2/2020,29.1,22.9,71.5,0,0,0,14,118.6,1011.9,39.2,9.3,298.9,25.7,10,0.96
21/2/2020,29.2,22.6,69.9,0,0,0,14.8,122.3,1012.8,36.7,9.9,297.1,25.7,10,0.98
22/2/2020,29.5,21.7,63.7,0,0,0,13.3,57.4,1013.3,37.1,9.8,297.2,25.6,10,1
23/2/2020,29.5,21.7,63.9,0,0,0,19,104.3,1012.4,38.5,9.9,304.3,26.4,10,1
24/2/2020,29.6,22.5,67.2,0,0,0,14.6,104.1,1010.9,39.1,10.2,304.2,26.2,10,0
25/2/2020,29.5,23.3,71,6.19,100,4.17,14.1,78.4,1010.1,40.5,10.1,294.3,25.7,10,0.02
26/2/2020,28.7,23.7,76.7,59.23,100,4.17,24,68.5,1010,39.6,9.4,303.2,25.8,10,0.04
27/2/2020,29.4,23.5,73.4,0,0,0,10.4,97.3,1009.7,37.4,8.6,293.5,25.4,10,0.06
28/2/2020,30.2,22.3,65,0,0,0,17.6,106.2,1009.2,39.7,9.8,305.1,26.4,10,0.1
29/2/2020,30.1,23.4,69.6,0,0,0,17.3,116.2,1008.8,36.8,9.6,291.9,25,10,0.14
1/3/2020,29.1,24.3,77.1,4.42,100,4.17,20.8,125,1009.6,38.2,8.7,291.4,25.1,10,0.18
2/3/2020,29.3,24.6,77.7,7.09,100,8.33,17.5,116.6,1009.4,37.5,9.4,305,26.2,10,0.23
3/3/2020,28.9,24.8,80.3,0,0,0,24,130,1009.9,39.9,8.1,280.8,24.3,10,0.28
4/3/2020,30.2,24.7,74,0,0,0,14.3,135.8,1009.7,39,9,286.3,24.7,10,0.34
5/3/2020,28.6,25.1,82,1.23,100,4.17,17.7,159.6,1010.8,38.8,9.1,174.8,15.2,6,0.38
6/3/2020,27.6,24.4,83.2,4.51,100,4.17,17.3,183.1,1011.9,37.5,8.9,153.6,13.2,6,0.43
7/3/2020,27,24.5,87.3,24.59,100,12.5,16.8,218,1012.5,38.2,8.9,169.8,14.7,6,0.46
8/3/2020,27.8,25.2,87,6,100,4.17,18.8,151.7,1010.9,38.7,7.6,177.6,15.4,7,0.49
9/3/2020,29.5,25.5,80.5,0,0,0,16.1,187.9,1009.4,38,8.4,183.2,15.8,6,0.5
10/3/2020,30.6,25.8,77.2,0,0,0,17.7,238.9,1008.9,38.2,9.9,204.6,17.7,8,0.51
11/3/2020,29.4,25.5,80.7,34.41,100,4.17,24.8,224,1010.3,37.2,9.7,260.9,22.5,9,0.53
12/3/2020,28.5,25.4,84.4,14.64,100,4.17,15.9,118.8,1011.4,39.8,8.6,279.4,24.3,9,0.56
13/3/2020,29.2,25.5,81.3,0.1,100,4.17,17.7,161.9,1011.7,39.4,7.8,263.3,22.6,9,0.6
14/3/2020,30.2,25,75.4,0,0,0,11.4,93.1,1009.9,40.9,8.9,250.3,21.6,9,0.65
15/3/2020,29,24.3,77.4,15.38,100,4.17,16.6,82.1,1009.8,38,9.7,231.3,20,8,0.71
16/3/2020,30.6,23.2,66.7,0,0,0,12.2,52.6,1010.6,39.4,9.8,216.8,18.8,7,0.76
17/3/2020,30.5,21.8,62.3,0,0,0,13.2,115.4,1011.2,37.3,9.9,290.7,25,10,0.81
18/3/2020,29.7,24.6,75.5,2.72,100,4.17,19.9,149.4,1010.6,39.4,10,199.7,17.1,7,0.86
19/3/2020,28.7,24.8,79.7,8.84,100,4.17,12.8,115.6,1010.8,37.5,10,219.7,19,8,0.9
20/3/2020,29.6,23.9,73.5,0,0,0,17.1,118.4,1010.8,37.6,9.3,235.4,20.4,8,0.94
21/3/2020,27.8,24.6,83.8,12.07,100,4.17,16.1,143.3,1011.4,39.9,9.2,207.5,18,8,0.97
22/3/2020,28.3,24.9,82.7,0,0,0,15.9,128,1011.2,37.1,10,117.9,10.2,4,0.99
23/3/2020,27.7,24.9,85.4,5.4,100,4.17,17.3,110,1010.7,37.7,9.7,210.8,18.2,8,1
24/3/2020,27.3,24.9,88,34.48,100,4.17,15.9,92.7,1009.1,38.1,8.7,145.4,12.4,5,0
25/3/2020,29.7,24.5,76.2,0,0,0,12.3,140.9,1007.9,38.9,9.7,297.3,25.7,10,0.01
26/3/2020,29.6,23.9,73,0.88,100,4.17,13.9,123.9,1009.2,38.9,10,294.2,25.3,10,0.02
27/3/2020,28.7,25.2,82.5,39.13,100,4.17,20.8,115.2,1010.3,40.4,9.3,204,17.7,7,0.04
28/3/2020,28.7,25.5,83.6,1.28,100,4.17,17.3,116.9,1009.6,38.5,8.5,220.2,19,8,0.07
29/3/2020,28.7,25.9,85.7,19.91,100,4.17,15.9,116.3,1008.5,38.6,8.7,263.7,22.8,9,0.11
30/3/2020,28.8,25.4,82.9,8.33,100,12.5,13.9,182.3,1009.8,37.1,9.4,165,14.4,6,0.15
31/3/2020,28.7,25.2,82.5,11.49,100,4.17,19,168.8,1009.7,39.7,9.2,229.4,19.8,8,0.2
1/4/2020,29.5,24.7,77.4,0,0,0,19.2,160.7,1009.5,37.4,8.8,242.9,20.9,8,0.25
2/4/2020,29.1,25.4,81.3,11.52,100,4.17,17.5,153.5,1009.6,39.1,9.7,231.9,20,8,0.31
3/4/2020,28.3,25.4,85.6,23.28,100,8.33,14.8,150.4,1010.5,42.8,9.5,231.5,20.1,8,0.36
4/4/2020,28.1,25.5,86.4,4.79,100,8.33,14.6,129.3,1010.3,38.8,9.7,259.1,22.2,9,0.41
5/4/2020,28.3,25.3,84.2,0,0,0,18.8,130,1010.7,38.2,9.9,233.8,20,8,0.45
